	c_office_id	c_office_chn	place	office	title
23802	86277	刑部河南司幫稿	河南	刑部	幫稿
21537	84012	滿都統			都統
20191	82665	回務章京			章京
21201	83676	禮部額外主事上行走		禮部	行走
18194	80668	朝考閱卷大臣			大臣
21101	83576	藍二滿洲旗協領			協領
18026	80500	步軍統領衙門兼辦司員上額外行走			行走
21535	84010	滿本堂上行走			行走
19684	82158	光明殿考翰詹監試			
19251	81725	工部清檔房筆帖式		工部#檔房#清檔房	筆帖式
22865	85340	提標後營守備			守備
25533	88009	左翼總兵官		左翼	
18081	80555	叄等輕車都尉			
24203	86679	養鷹統領			統領
23848	86323	刑部山西司郎中	山西	刑部#西司	郎中
23809	86284	刑部湖廣司主事	湖廣	刑部	主事#司主事
17841	80315	標右營左哨千總		右營	千總
19590	82064	管理御藥房太醫院事務		御藥房#太醫院	
23722	86197	協右營右哨千總		右營	千總
22315	84790	上駟院印鑰		上駟院	
23354	85829	武闈鄉試內場監試			
23656	86131	協標千總			千總
23003	85478	同考試官			
20746	83220	軍機處頭班幫領班章京		軍機處	章京
21710	84185	內閣漢軍中書		內閣	中書
24346	86822	驛站章京			章京
21504	83979	鑾儀衛鑾儀使		鑾儀衛	鑾儀使
25547	88023	左宗正			左宗正
23028	85503	統領軍			
18576	81050	都統印務			
22166	84641	三朝國史總裁官			總裁官
19701	82175	國史館副總裁		國史館	副總裁#總裁
18745	81219	惇郡王			
24255	86731	一等侍衛行走			行走
19366	81840	固倫額駙			
24775	87251	詹事府詹事		詹事府	詹事
19601	82075	管理院事王大臣			大臣#管理院事王大臣
18598	81072	督辦軍務處翼長			翼長
24899	87375	鎮統制官			
22373	84848	省練軍營務翼長			翼長
20239	82713	會典館圖上幫總纂官		會典館	總纂官
20130	82604	戶部左侍郎總督倉場		戶部	
21952	84427	平西大將軍			將軍
20794	83268	軍諮大臣			軍諮大臣#大臣
22793	85268	太僕寺管理寺事大臣		太僕寺	大臣
17544	80018	按察使司經歷			經歷
22626	85101	水師營守備		水師營	守備
22370	84845	省練兵行營翼長		行營	翼長
17945	80419	兵部掌印給事中		兵部	掌印給事中#給事中
17937	80411	兵部行走		兵部	行走
20131	82605	戶部坐糧廳監督		坐糧廳#戶部	監督
23172	85647	尉			
20583	83057	將軍			將軍
21163	83638	理藩院堂主事		理藩院	主事#堂主事
25384	87860	總理糧站			
23370	85845	武鄉試監臨官			
21995	84470	起居注官上行走			行走
19575	82049	管理遊牧			
21821	84296	內務府筆帖式		內務府	內務府筆帖式#筆帖式
21425	83900	六班委侍衛班領			侍衛班領
22728	85203	隨扈帶豹尾槍大臣			大臣
20188	82662	輝特親王			
25297	87773	總辦秋審處行走		秋審處	行走
22984	85459	通政使司參議		通政使司	參議
19832	82306	翰林院教習庶吉士		翰林院	庶吉士
18766	81240	多羅瑞郡王			
25285	87761	總辦*水利局			
24396	86872	營官			
19336	81810	宮員外郎			外郎#員外郎
19986	82460	戶部緞匹庫員外郎		戶部	外郎#員外郎
22597	85072	水師提標中營中軍守備		中營	守備
20838	83313	考察政治大臣			大臣
21260	83735	禮科筆帖式		禮科	筆帖式
21278	83753	吏部漢字堂主事		吏部	主事#堂主事
18112	80586	查辦鹽務			
24559	87035	虞衡司郎中			郎中
22200	84675	三等侍衛			三等侍衛#侍衛
19258	81732	工部侍郎		工部	侍郎
22121	84596	清字經館總裁			總裁
19071	81545	撫標營教習			教習
21929	84404	盤查三庫大臣		三庫	大臣
20238	82712	會典館圖上幫提調官		會典館	提調官
25035	87511	值軍機處		軍機處	
24527	87003	右翼委翼長		右翼	委翼長#翼長
21638	84113	磨勘歲試卷			
19179	81653	覆看試卷			
18630	81104	督標後營守備			守備
17828	80302	標右營都司		右營	都司
19349	81823	恭謁祖陵並稽查尖營			
22927	85402	提督銜			
21438	83913	六品虛銜八品苑丞			苑丞#丞
18612	81086	督辦團練			
23992	86467	學部圖書局行走		學部	行走
18043	80517	部參議上行走			行走
21789	84264	內河水師統巡			
22519	84994	守護陵寑大臣			大臣
21715	84190	內閣蒙古侍讀學士		內閣	侍讀學士#學士
24164	86640	鹽運使銜			
24606	87082	御前頭等侍衛			侍衛
23201	85676	文會搜檢			
19279	81753	工部營繕司郎中		工部#營繕司	郎中
18452	80926	道員			
17992	80466	不入八分輔國公銜			
23827	86302	刑部郎中上行走		刑部	行走
20918	83393	考試漢教習			教習
22455	84930	世弟			
18017	80491	步隊協統領		步隊	統領
19113	81587	副都統郎			
24911	87387	征蠻將軍			將軍
19083	81557	撫標左營守備		左營	守備
25155	87631	助順永寧侯			
17610	80084	伴讀瑞郡王			
18695	81169	督理工務監察御史			監察御史#御史
19902	82376	和碩質親王			
24050	86525	巡查壇牆大臣			大臣
19404	81878	觀風整俗使			觀風整俗使
18706	81180	督理御史			御史
22461	84936	世宗憲皇帝實錄副總裁官			總裁官#副總裁官
23841	86316	刑部山東司幫掌印	山東	東司#刑部	掌印
24649	87125	圓明園參將		圓明園	參將
23401	85876	武選司掌印管理馬館監督		馬館	監督
22667	85142	司六庫郎中			郎中
24682	87158	閱覆試卷官			
19025	81499	奉辰院掌印			掌印
25555	88031	佐領行走			行走
