c_ot_adm_id	c_ot_adm_chinm	type	c_ot_adm_engnm	c_ot_adm_desc	c_ot_adm_start	c_ot_adm_end	part1	type1	part2	type2	Unnamed: 11	Unnamed: 12	length
508	承奉司	o											3
552	丁字庫	o											3
510	司錀庫	o											3
551	四川道	o											3
511	典翰局	o											3
550	印鈔局	o											3
512	左率府	o											3
549	北京道	o											3
546	司苑司	o											3
545	國史院	o											3
544	主簿廳	o											3
539	鎮撫司	o											3
1119	內官監	o											3
1169	御史臺	o											3
1042	司苑局	o											3
1034	尚膳監	o											3
1035	尚染局	o											3
1036	尚履監	o											3
1037	尚寶監	o											3
1038	尚冠監	o											3
1039	天地壇	o											3
1040	司設監	o											3
1041	司菜局	o											3
1043	印綬監	o											3
1032	巾帽局	o											3
1044	兵仗局	o											3
1046	內正司	o											3
1047	內府庫	o											3
1048	內官監	o											3
1049	內史監	o											3
1050	尚食局	o											3
1052	公主府	o											3
1056	茶馬司	o											3
1033	尚麵局	o											3
1031	御用監	o											3
1065	順天府	o											3
1018	尚宮局	o											3
1006	詹事府	o											3
1011	都知監	o											3
1012	神宮監	o											3
1014	甲字庫	o											3
1015	尚服局	o											3
1016	司衣司	o											3
1017	尚寢局	o											3
1019	尚功局	o											3
1030	御馬司	o											3
1021	尚儀局	o											3
1022	宮正司	o											3
1023	尚寶司	o											3
1024	王相府	o											3
1025	神樞營	o											3
1027	錦衣衛	o											3
1028	惜薪司	o											3
1029	御馬監	o											3
1057	苑馬寺	o											3
1066	應天府	o											3
1168	長官司	o											3
1124	公主府	o											3
1113	尚酒局	o											3
1114	尚染局	o											3
1115	印綬監	o											3
1116	兵仗司	o											3
1118	內府倉	o											3
1120	內史監	o											3
1121	內倉監	o											3
1123	宗人府	o											3
1129	茶馬司	o											3
1111	尚麵局	o											3
1130	苑馬寺	o											3
1157	審刑司	o											3
1158	磨勘司	o											3
1161	廣盈庫	o											3
1162	廣積庫	o											3
1163	御馬倉	o											3
1164	安撫司	o											3
1165	招討司	o											3
1112	尚醋局	o											3
1102	新西廠	o											3
1068	侍儀司	o											3
1085	龍虎山	o											3
1069	都知監	o											3
1070	繩頑司	o											3
1071	神壇署	o											3
1073	皇陵署	o											3
1081	名道觀	o											3
1082	三茅山	o											3
1083	太和山	o											3
1084	閣皁山	o											3
1086	侍儀司	o											3
1101	新南廠	o											3
1087	神樂觀	o											3
1088	稽疑司	o											3
1089	秘書監	o											3
1090	承敕監	o											3
1092	皇陵署	o											3
1094	混堂司	o											3
1096	浣衣局	o											3
1100	惜薪司	o											3
331	司贊司	o											3
330	誥敕房	o											3
328	生藥庫	o											3
327	博士廳	o											3
326	陝西道	o											3
325	大官署	o											3
324	貴州道	o											3
323	工正所	o											3
322	嘉蔬署	o											3
321	司計司	o											3
320	廣積庫	o											3
319	武英台	o											3
302	神牲所	o											3
316	司衣司	o											3
315	祠祭署	o											3
314	織染所	o											3
313	前鋒營	o											3
312	牲口房	o											3
311	典儀所	o											3
310	司簿司	o											3
309	右率府	o											3
308	典膳所	o											3
307	掌醢署	o											3
488	典藥局	o											3
305	丙字庫	o											3
304	宏文院	o											3
333	行人司	o											3
334	分守道	o											3
335	司賓司	o											3
362	漢經廠	o											3
361	文華殿	o											3
360	太常寺	o											3
359	司儀署	o											3
358	考功部	o											3
357	度支部	o											3
356	司珍司	o											3
355	內書堂	o											3
354	御茶房	o											3
352	常平倉	o											3
351	軍需庫	o											3
350	督冊道	o											3
348	浙江道	o											3
347	翰林院	o											3
346	稅課局	o											3
345	華蓋殿	o											3
344	千戶所	o											3
343	戊字庫	o											3
342	乙字庫	o											3
340	寶泉局	o											3
339	參軍府	o											3
338	撫治道	o											3
337	鞍轡局	o											3
